source_name_en,kcal_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,aliases_it,portion_small_g,portion_medium_g,portion_generous_g
"Nuts, walnuts, english",654.0,15.2,65.2,13.7,6.7,noci;noce;gherigli di noce,10,20,30
"Nuts, almonds",579.0,21.2,49.9,21.6,12.5,mandorle;mandorla,10,20,30
"Nuts, hazelnuts or filberts",628.0,15.0,60.8,16.7,9.7,nocciole;nocciola,10,20,30
"Nuts, pistachio nuts, raw",560.0,20.2,45.3,27.2,10.6,pistacchi;pistacchio,10,20,30
"Nuts, cashew nuts, raw",553.0,18.2,43.9,30.2,3.3,anacardi;anacardo,10,20,30
"Peanuts, all types, raw",567.0,25.8,49.2,16.1,8.5,arachidi;noccioline americane,10,20,30
"Nuts, pine nuts, dried",673.0,13.7,68.4,13.1,3.7,pinoli,5,10,15
"Nuts, brazilnuts, dried, unblanched",659.0,14.3,66.4,12.3,7.5,noci brasiliane,10,20,30
"Nuts, pecans",691.0,9.2,72.0,13.9,9.6,noci pecan,10,20,30
"Nuts, chestnuts, european, roasted",245.0,3.2,1.4,53.0,4.3,castagne;marroni,30,50,80
"Apples, gala, with skin, raw",61.0,0.3,0.2,16.4,2.4,mela;mele,80,130,180
"Bananas, raw",89.0,1.1,0.3,22.8,2.6,banana;banane,60,100,150
"Oranges, raw, all commercial varieties",47.0,0.9,0.1,11.8,2.4,arancia;arance,80,130,180
"Pears, raw",57.0,0.4,0.1,15.2,3.1,pera;pere,80,130,180
"Grapes, red or green (European type, such as Thompson seedless), raw",69.0,0.7,0.2,18.1,0.9,uva,80,120,200
"Strawberries, raw",32.0,0.7,0.3,7.7,2.0,fragola;fragole,60,100,150
"Blueberries, raw",57.0,0.7,0.3,14.5,2.4,mirtilli;mirtillo,40,60,100
"Kiwifruit, green, raw",61.0,1.1,0.5,14.7,3.0,kiwi,60,80,120
"Peaches, yellow, raw",39.0,0.9,0.3,9.5,1.5,pesca;pesche,80,120,180
"Apricots, raw",48.0,1.4,0.4,11.1,2.0,albicocca;albicocche,50,80,120
"Plums, raw",46.0,0.7,0.3,11.4,1.4,prugna;prugne;susina,60,90,130
"Watermelon, raw",30.0,0.6,0.2,7.6,0.4,anguria;cocomero,100,150,250
"Melons, cantaloupe, raw",34.0,0.8,0.2,8.2,0.9,melone,100,150,250
"Pineapple, raw, all varieties",50.0,0.5,0.1,13.1,1.4,ananas,80,120,200
"Mangos, raw",60.0,0.8,0.4,15.0,1.6,mango,100,150,250
"Cherries, sweet, raw",63.0,1.1,0.2,16.0,2.1,ciliegia;ciliegie,50,80,120
"Figs, raw",74.0,0.8,0.3,19.2,2.9,fico;fichi,50,80,120
"Dates, deglet noor",282.0,2.5,0.4,75.0,8.0,datteri;dattero,20,30,50
"Raisins, dark, seedless",299.0,3.1,0.5,79.2,3.7,uvetta;uva passa,15,25,40
"Lemons, raw, without peel",29.0,1.1,0.3,9.3,2.8,limone;limoni,20,30,50
"Tomatoes, red, ripe, raw, year round average",18.0,0.9,0.2,3.9,1.2,pomodoro;pomodori;pomodorino,60,100,150
"Cucumber, with peel, raw",15.0,0.7,0.1,3.6,0.5,cetriolo;cetrioli,50,80,120
"Lettuce, iceberg (includes crisphead types), raw",14.0,0.9,0.1,3.0,1.2,lattuga;insalata,40,60,100
"Carrots, raw",41.0,0.9,0.2,9.6,2.8,carota;carote,50,80,120
"Squash, summer, zucchini, includes skin, raw",17.0,1.2,0.3,3.1,1.0,zucchina;zucchine;courgette,80,120,200
"Eggplant, raw",25.0,1.0,0.2,5.9,3.0,melanzana;melanzane,80,120,200
"Peppers, sweet, red, raw",26.0,1.0,0.3,6.0,2.1,peperone;peperoni,60,100,150
"Broccoli, raw",34.0,2.8,0.4,6.6,2.6,broccoli;broccolo,80,120,200
"Cauliflower, raw",25.0,1.9,0.3,5.0,2.0,cavolfiore,80,120,200
"Spinach, raw",23.0,2.9,0.4,3.6,2.2,spinaci,40,60,120
"Potatoes, boiled, cooked in skin, flesh, without salt",87.0,1.9,0.1,20.1,1.8,patata bollita;patate bollite,100,150,250
"Potatoes, red, flesh and skin, baked",87.0,2.1,0.1,20.0,1.9,patata al forno;patate al forno,100,150,250
"Sweet potato, raw, unprepared",86.0,1.6,0.1,20.1,3.0,patata dolce;patata americana,100,150,250
"Onions, raw",40.0,1.1,0.1,9.3,1.7,cipolla;cipolle,40,60,100
"Garlic, raw",149.0,6.4,0.5,33.1,2.1,aglio,3,6,10
"Beans, snap, green, raw",31.0,1.8,0.2,7.0,3.4,fagiolini,80,120,200
"Peas, green, raw",81.0,5.4,0.4,14.5,5.7,piselli,60,80,120
